NAMESPACE            	NAME                 	REVISION          	SUSPENDED	READY	MESSAGE                                                                                                                            
aiot-ml              	aiot-ml-platform     	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release aiot-ml/aiot-ml-platform.v37 with chart aiot-ml-platform@1.0.0+822feeb7665f                    	
aiot                 	aiot-pipeline        	1.0.5             	False    	True 	Helm upgrade succeeded for release aiot/aiot-pipeline.v9 with chart aiot-pipeline@1.0.5                                           	
aiot                 	cloudbeaver          	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release aiot/cloudbeaver.v35 with chart cloudbeaver-overlay@1.0.0+822feeb7665f                         	
auth                 	dex                  	1.0.0             	False    	True 	Helm install succeeded for release auth/dex.v1 with chart dex-overlay@1.0.0                                                       	
awx                  	awx                  	1.0.0             	False    	True 	Helm install succeeded for release awx/awx.v1 with chart awx@1.0.0                                                                	
awx                  	awx-operator         	1.0.0             	False    	True 	Helm install succeeded for release awx/awx-operator.v1 with chart awx-operator-overlay@1.0.0                                      	
blackbox-exporter    	blackbox-exporter    	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release blackbox-exporter/blackbox-exporter.v34 with chart blackbox-exporter-overlay@1.0.0+822feeb7665f	
cert-manager         	cert-manager         	1.0.0             	False    	True 	Helm install succeeded for release cert-manager/cert-manager.v1 with chart cert-manager-overlay@1.0.0                             	
chaos-theater        	aiot-chaos-theater   	0.1.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release chaos-theater/aiot-chaos-theater.v35 with chart aiot-chaos-theater@0.1.0+822feeb7665f          	
cluster-copilot      	cluster-copilot      	1.0.0             	False    	True 	Helm upgrade succeeded for release cluster-copilot/cluster-copilot.v2 with chart cluster-copilot-overlay@1.0.0                    	
cnpg-system          	cnpg                 	1.0.0             	False    	True 	Helm install succeeded for release cnpg-system/cnpg.v1 with chart cnpg-overlay@1.0.0                                              	
databases            	pgadmin              	1.0.0             	False    	True 	Helm install succeeded for release databases/pgadmin.v1 with chart pgadmin-overlay@1.0.0                                          	
descheduler          	descheduler          	1.0.0             	False    	True 	Helm install succeeded for release descheduler/descheduler.v1 with chart descheduler-overlay@1.0.0                                	
event-exporter       	event-exporter       	1.0.0             	False    	True 	Helm upgrade succeeded for release event-exporter/event-exporter.v2 with chart event-exporter-overlay@1.0.0                       	
flux-ui              	weave-gitops         	4.0.36            	False    	True 	Helm upgrade succeeded for release flux-ui/weave-gitops.v10 with chart weave-gitops@4.0.36                                        	
gitea                	gitea                	1.0.0             	False    	True 	Helm upgrade succeeded for release gitea/gitea.v2 with chart gitea-overlay@1.0.0                                                  	
grafana              	grafana              	1.0.3             	False    	True 	Helm upgrade succeeded for release grafana/grafana.v3 with chart grafana-overlay@1.0.3                                            	
headlamp             	headlamp             	1.1.0             	False    	True 	Helm upgrade succeeded for release headlamp/headlamp.v5 with chart headlamp-overlay@1.1.0                                         	
ingress-nginx        	ingress-nginx        	1.0.0             	False    	True 	Helm upgrade succeeded for release ingress-nginx/ingress-nginx.v2 with chart ingress-nginx-overlay@1.0.0                          	
jenkins              	jenkins              	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release jenkins/jenkins.v37 with chart jenkins-overlay@1.0.0+822feeb7665f                              	
k8up-system          	k8up                 	1.0.0             	False    	True 	Helm install succeeded for release k8up-system/k8up.v1 with chart k8up-overlay@1.0.0                                              	
kube-system          	sealed-secrets       	1.0.0             	False    	True 	Helm install succeeded for release kube-system/sealed-secrets.v1 with chart sealed-secrets-overlay@1.0.0                          	
litmus               	chaos                	3.28.0            	False    	True 	Helm upgrade succeeded for release litmus/chaos.v4 with chart litmus@3.28.0                                                       	
nfs-provisioner      	nfs-provisioner      	1.0.0             	False    	True 	Helm upgrade succeeded for release nfs-provisioner/nfs-provisioner.v3 with chart nfs-provisioner-overlay@1.0.0                    	
node-problem-detector	node-problem-detector	1.0.0             	False    	True 	Helm install succeeded for release node-problem-detector/node-problem-detector.v1 with chart node-problem-detector-overlay@1.0.0  	
observability-logs   	alloy                	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release observability-logs/alloy.v35 with chart alloy-overlay@1.0.0+822feeb7665f                       	
observability-logs   	loki                 	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release observability-logs/loki.v36 with chart loki-overlay@1.0.0+822feeb7665f                         	
pe-console           	pe-console           	1.0.0             	False    	True 	Helm install succeeded for release pe-console/pe-console.v1 with chart pe-console@1.0.0                                           	
puppet               	puppet               	1.0.0             	False    	True 	Helm upgrade succeeded for release puppet/puppet.v4 with chart puppet-overlay@1.0.0                                               	
qdrant               	qdrant               	1.0.0             	False    	True 	Helm upgrade succeeded for release qdrant/qdrant.v3 with chart qdrant-overlay@1.0.0                                               	
terrakube            	terrakube            	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release terrakube/terrakube.v34 with chart terrakube-overlay@1.0.0+822feeb7665f                        	
victoriametrics      	victoriametrics      	1.0.0+822feeb7665f	False    	True 	Helm upgrade succeeded for release victoriametrics/victoriametrics.v35 with chart victoriametrics-overlay@1.0.0+822feeb7665f      	
zabbix               	zabbix               	1.0.1+822feeb7665f	False    	True 	Helm upgrade succeeded for release zabbix/zabbix.v39 with chart zabbix-overlay@1.0.1+822feeb7665f                                 	
